"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30166","Register User","tests.ui","2026-08-20","broken","2026-08-20","","test_auth","",""
"","30356","Logout User","tests.ui","2026-08-20","broken","2026-08-20","","test_auth","",""
"","30155","Login User with correct email and password","tests.ui","2026-08-20","broken","2026-08-20","","test_auth","",""
"","601","Put to All Brands List","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","416","GET user account detail by email","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","411","Post to All Products List","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","30346","Register User with existing email","tests.ui","2026-08-20","broken","2026-08-20","","test_auth","",""
"","30148","Verify Test Cases Page","tests.ui","2026-08-20","broken","2026-08-20","","test_misc","",""
"","410","Get All Brands List","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","414","PUT METHOD To Update User Account","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","30334","Contact Us Form","tests.ui","2026-08-20","broken","2026-08-20","","test_misc","",""
"","411","DELETE METHOD To Delete User Account","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","419","POST To Create/Register User Account","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
"","30164","Login User with incorrect email and password","tests.ui","2026-08-20","broken","2026-08-20","","test_auth","",""
"","666","Get All Products List","tests.api","2026-08-20","broken","2026-08-20","","test_api_products","",""
