"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","686","DELETE METHOD To Delete User Account","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","695","POST To Create/Register User Account","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","684","Put to All Brands List","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","726","Get All Brands List","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","3190","Login User with correct email and password","tests.ui","2026-08-21","passed","2026-08-21","","test_auth","",""
"","1990","Register User with existing email","tests.ui","2026-08-21","passed","2026-08-21","","test_auth","",""
"","736","GET user account detail by email","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","687","Post to All Products List","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","7042","Verify Test Cases Page","tests.ui","2026-08-21","failed","2026-08-21","","test_misc","",""
"","24718","Contact Us Form","tests.ui","2026-08-21","passed","2026-08-21","","test_misc","",""
"","902","Get All Products List","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","763","PUT METHOD To Update User Account","tests.api","2026-08-21","passed","2026-08-21","","test_api_products","",""
"","4135","Register User","tests.ui","2026-08-21","passed","2026-08-21","","test_auth","",""
"","3233","Logout User","tests.ui","2026-08-21","passed","2026-08-21","","test_auth","",""
"","2161","Login User with incorrect email and password","tests.ui","2026-08-21","passed","2026-08-21","","test_auth","",""
