"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","726","Put to All Brands List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","693","PUT METHOD To Update User Account","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","695","Get All Brands List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","3338","Logout User","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","689","Post to All Products List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","766","DELETE METHOD To Delete User Account","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","12719","Contact Us Form","tests.ui","2026-08-20","failed","2026-08-20","","test_misc","",""
"","2181","Verify Test Cases Page","tests.ui","2026-08-20","passed","2026-08-20","","test_misc","",""
"","4365","Register User","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","1977","Login User with incorrect email and password","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","2228","Register User with existing email","tests.ui","2026-08-20","passed","2026-08-20","","test_auth","",""
"","737","Get All Products List","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","454","POST To Create/Register User Account","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
"","8060","Login User with correct email and password","tests.ui","2026-08-20","failed","2026-08-20","","test_auth","",""
"","691","GET user account detail by email","tests.api","2026-08-20","passed","2026-08-20","","test_api_products","",""
