"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","451","POST To Create/Register User Account","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","2097","Register User with existing email","tests.ui","2026-08-19","passed","2026-08-19","","test_auth","",""
"","683","DELETE METHOD To Delete User Account","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","686","GET user account detail by email","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","729","Get All Brands List","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","815","Get All Products List","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","8652","Contact Us Form","tests.ui","2026-08-19","failed","2026-08-19","","test_misc","",""
"","718","PUT METHOD To Update User Account","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","3812","Logout User","tests.ui","2026-08-19","passed","2026-08-19","","test_auth","",""
"","4069","Register User","tests.ui","2026-08-19","passed","2026-08-19","","test_auth","",""
"","2702","Login User with correct email and password","tests.ui","2026-08-19","passed","2026-08-19","","test_auth","",""
"","1669","Verify Test Cases Page","tests.ui","2026-08-19","passed","2026-08-19","","test_misc","",""
"","435","Put to All Brands List","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
"","1639","Login User with incorrect email and password","tests.ui","2026-08-19","passed","2026-08-19","","test_auth","",""
"","708","Post to All Products List","tests.api","2026-08-19","passed","2026-08-19","","test_api_products","",""
