"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30391","Login User with incorrect email and password","tests","2026-08-03","broken","2026-08-03","","test_auth","",""
"","30398","Logout User","tests","2026-08-03","broken","2026-08-03","","test_auth","",""
"","30389","Login User with correct email and password","tests","2026-08-03","broken","2026-08-03","","test_auth","",""
"","30431","Register User","tests","2026-08-03","broken","2026-08-03","","test_auth","",""
