"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","442","POST To Create/Register User Account","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","0","Register User","tests.ui","2026-09-22","broken","2026-09-22","","test_auth","",""
"","387","PUT METHOD To Update User Account","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","0","Logout User","tests.ui","2026-09-22","broken","2026-09-22","","test_auth","",""
"","0","Verify Subscription in home page","tests.ui","2026-09-22","broken","2026-09-22","","test_misc","",""
"","0","Contact Us Form","tests.ui","2026-09-22","broken","2026-09-22","","test_misc","",""
"","0","Login User with incorrect email and password","tests.ui","2026-09-22","broken","2026-09-22","","test_auth","",""
"","663","Get All Products List","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","455","GET user account detail by email","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","361","Get All Brands List","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","377","Put to All Brands List","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","0","Verify Test Cases Page","tests.ui","2026-09-22","broken","2026-09-22","","test_misc","",""
"","0","Register User with existing email","tests.ui","2026-09-22","broken","2026-09-22","","test_auth","",""
"","140","DELETE METHOD To Delete User Account","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
"","0","Login User with correct email and password","tests.ui","2026-09-22","broken","2026-09-22","","test_auth","",""
"","0","Verify All Products and product detail page","tests.ui","2026-09-22","broken","2026-09-22","","test_shopping","",""
"","442","Post to All Products List","tests.api","2026-09-22","passed","2026-09-22","","test_api_products","",""
